


	Problem Size (nT x nS x nH):13x20x50
	CPU Time(sec): 34
	Obj Value: 172

			0 			0 			0 			0 			0 			0 			0 			0 			0 			0 			0 			0 			0 			0 			0 			0 			0 			0 			0 			0 


			1 			0 			1 			0 			0 			1 			1 			1 			0 			0 			0 			1 			0 			0 			0 			0 			0 			0 			0 			0 


			0 			0 			0 			1 			0 			0 			0 			0 			0 			0 			0 			0 			0 			0 			0 			1 			0 			1 			0 			1 


			1 			0 			1 			0 			0 			1 			1 			1 			0 			0 			0 			0 			0 			0 			0 			0 			0 			0 			0 			0 


			0 			0 			1 			1 			1 			0 			0 			1 			0 			0 			0 			0 			0 			0 			1 			0 			0 			0 			1 			0 


			0 			0 			0 			0 			0 			0 			0 			1 			0 			0 			0 			1 			0 			0 			0 			0 			0 			0 			0 			1 


			0 			0 			1 			1 			1 			1 			0 			1 			0 			0 			0 			0 			0 			0 			0 			0 			0 			0 			0 			1 


			1 			0 			0 			1 			1 			1 			1 			1 			0 			0 			0 			0 			0 			0 			1 			0 			0 			0 			0 			0 


			0 			0 			1 			0 			0 			1 			0 			1 			0 			0 			0 			1 			0 			0 			1 			1 			0 			1 			1 			0 


			1 			0 			1 			0 			0 			0 			1 			0 			0 			0 			0 			0 			0 			0 			0 			0 			0 			0 			0 			1 


			1 			0 			0 			0 			1 			0 			1 			1 			0 			0 			0 			0 			0 			0 			0 			0 			0 			1 			0 			0 


			1 			0 			1 			0 			0 			1 			1 			0 			0 			0 			0 			1 			0 			0 			1 			1 			0 			1 			0 			1 


			0 			0 			1 			0 			1 			1 			0 			0 			0 			0 			0 			1 			0 			0 			1 			1 			0 			0 			1 			0 


			1 			0 			0 			1 			0 			0 			1 			1 			0 			0 			0 			1 			0 			0 			1 			0 			0 			0 			1 			0 


			0 			0 			1 			1 			1 			1 			0 			1 			0 			0 			0 			1 			0 			0 			1 			1 			0 			0 			1 			0 


			1 			0 			0 			0 			1 			1 			0 			1 			0 			0 			0 			0 			0 			0 			1 			0 			0 			1 			1 			1 


			0 			0 			0 			0 			0 			1 			1 			0 			0 			0 			0 			1 			0 			0 			1 			1 			0 			1 			1 			0 


			1 			0 			1 			1 			0 			0 			1 			1 			0 			0 			0 			1 			0 			0 			0 			1 			0 			0 			0 			0 


			1 			0 			1 			0 			0 			0 			0 			0 			0 			0 			0 			0 			0 			0 			1 			1 			0 			0 			1 			0 


			0 			0 			0 			0 			1 			0 			1 			0 			0 			0 			0 			0 			0 			0 			1 			1 			0 			1 			1 			1 


			0 			0 			0 			0 			1 			1 			1 			0 			0 			0 			0 			0 			0 			0 			1 			1 			0 			1 			0 			0 


			1 			0 			0 			0 			1 			0 			0 			0 			0 			0 			0 			1 			0 			0 			0 			1 			0 			0 			1 			1 


			0 			0 			1 			1 			0 			0 			0 			0 			0 			0 			0 			1 			0 			0 			0 			1 			0 			0 			0 			1 


			1 			0 			0 			1 			0 			1 			0 			1 			0 			0 			0 			0 			0 			0 			1 			1 			0 			1 			0 			1 


			0 			0 			1 			1 			1 			1 			1 			0 			0 			0 			0 			1 			0 			0 			0 			0 			0 			0 			1 			0 


